club,last_name,first_name,position,base_salary,guaranteed_compensation,
NYRB,Veron,Gonzalo,M-F,500000,500000,Gonzalo Veron
NYRB,Wright-Phillips,Bradley,F,1500000,1635000,Bradley Wright-Phillips
NYRB,Zizzo,Sal,M,110000,110000,Sal Zizzo
ORL,Aja,Jose,D,216000,216000,Jose Aja
ORL,Alston,Kevin,D,135000,135000,Kevin Alston
ORL,Barnes,Giles,F-M,725000,781250,Giles Barnes
ORL,Barry,Hadji,F,68750,73312.5,Hadji Barry
ORL,Bendik,Joe,GK,165000,174083.4,Joe Bendik
ORL,Carrasco,Servando,M,114996,114996,Servando Carrasco
ORL,Da Silva,Pierre,M,53004,53004,Pierre Da Silva
ORL,Donovan,Conor,D,100000,128000,Conor Donovan
ORL,Edwards,Earl,GK,65000,65000,Earl Edwards
ORL,Garcia,Devron,M-F,53004,53004,Devron Garcia
ORL,Gil,Luis,M,144000,144000,Luis Gil
ORL,Giro,Victor,D-M,80004,85316.5,Victor Giro
ORL,Higuita,Cristian,M,150000,150000,Cristian Higuita
ORL,Hines,Sebastian,D,129996,129996,Sebastian Hines
ORL,Johnson,Will,M,414000,450000,Will Johnson
ORL,Kaka,,M,6660000,7167500, Kaka
ORL,Larin,Cyle,F,150000,192000,Cyle Larin
ORL,Laryea,Richmond,M,130000,159000,Richmond Laryea
ORL,Nocerino,Antonio,M,800000,850000,Antonio Nocerino
ORL,Perez,Matias,F,260004,260004,Matias Perez
ORL,Ramos,Rafael,D,100800,100800,Rafael Ramos
ORL,Redding,Tommy,D,110000,117500,Tommy Redding
ORL,Rivas,Carlos,M,375000,375000,Carlos Rivas
ORL,Rocha,Tony,M,65620.8,65620.8,Tony Rocha
ORL,Sane,Moussa,F,53004,53004,Moussa Sane
ORL,Saunders,Josh,GK,150000,150000,Josh Saunders
ORL,Spector,Jonathan,D,549996,611933.5,Jonathan Spector
ORL,Stajduhar,Mason,GK,53000,53000,Mason Stajduhar
ORL,Sutter,Scott,D,240000,240000,Scott Sutter
ORL,Toia,Donny,D,70875,70875,Donny Toia
PHI,Alberg,Roland,M,345000,394250,Roland Alberg
PHI,Ayuk,Eric,M,65625,65625,Eric Ayuk
PHI,Bedoya,Alejandro,M,1131000,1197250,Alejandro Bedoya
PHI,Blake,Andre,GK,148500,186500,Andre Blake
PHI,Carroll,Brian,M,132000,140000,Brian Carroll
PHI,Creavalle,Warren,M,125000,138000,Warren Creavalle
PHI,Davies,Charlie,F,108960,114684.94,Charlie Davies
PHI,Edu,Maurice,M,750000,818750,Maurice Edu
PHI,Elliott,Jack,D,53004,53004,Jack Elliott
PHI,Epps,Marcus,M,53004,53004,Marcus Epps
PHI,Fabinho,Fabinho,D,159759,167759,Fabinho Fabinho
PHI,Gaddis,Raymon,D,165000,167500,Raymon Gaddis
PHI,Herbers,Fabian,M-F,110000,135500,Fabian Herbers
PHI,Ilsinho,,M,470000,518333.33, Ilsinho
PHI,Jones,Aaron,D,53004,53004,Aaron Jones
PHI,Jones,Derrick,M,65000,70900,Derrick Jones
PHI,Marquez,Richard,D,133000,139430,Richard Marquez
PHI,McCarthy,John,GK,86500,95750,John McCarthy
PHI,McGuire,Jake,GK,53004,53004,Jake McGuire
PHI,Medunjanin,Haris,M,460008,505008,Haris Medunjanin
PHI,Najem,Adam,M,65000.04,65000.04,Adam Najem
PHI,Onyewu,Oguchi,D,65004,65004,Oguchi Onyewu
PHI,Picault,Fabrice,F,114999.96,128666.63,Fabrice Picault
PHI,Pontius,Chris,M-F,400000,431000,Chris Pontius
PHI,Rosenberry,Keegan,D,104500,110312.5,Keegan Rosenberry
PHI,Sapong,CJ,F,300000,300000,CJ Sapong
PHI,Simpson,Jay,F,465000,508333.33,Jay Simpson
PHI,Tribbett,Ken,D,65000,65000,Ken Tribbett
PHI,Trusty,Auston,D,75000,104100,Auston Trusty
PHI,Wijnaldum,Giliano,D,65004,78337.33,Giliano Wijnaldum
PHI,Yaro,Joshua,D,130000,194000,Joshua Yaro
POR,Adi,Fanendo,F,1190004,1736254,Fanendo Adi
POR,Andriuskevicius,Vytautas,D,222500,244375,Vytautas Andriuskevicius
POR,Arboleda,Victor,M-F,65000.04,65000.04,Victor Arboleda
POR,Arokoyo,Gbenga,D,135000,155600,Gbenga Arokoyo
POR,Asprilla,Dairon,M-F,138000,138000,Dairon Asprilla
POR,Attinella,Jeff,GK,100000,105083.33,Jeff Attinella
POR,Barmby,Jack,M-F,65004,65004,Jack Barmby
POR,Blanco,Sebastian,M,1000008,1075008,Sebastian Blanco
POR,Chara,Diego,M,500000,522000,Diego Chara
POR,Clarke,Rennico,D,53004,58004,Rennico Clarke
POR,Ebobisse,Jeremy,F,130000,173000,Jeremy Ebobisse
POR,Farfan,Marco,D,53000,53000,Marco Farfan
POR,Gleeson,Jake,GK,110000,115166.67,Jake Gleeson
POR,Guzman,David,M,185004,188337.33,David Guzman
POR,Mattocks,Darren,F,300000,316666.67,Darren Mattocks
POR,McIntosh,Kendall,GK,53000,53000,Kendall McIntosh
POR,Melano,Lucas,F,790000,1010000,Lucas Melano
POR,Miller,Roy,D,150000,150000,Roy Miller
POR,Myers,Chance,D,125004,125004,Chance Myers
POR,Nagbe,Darlington,M/F,550000,565000,Darlington Nagbe
POR,Okugo,Amobi,D-M,65004,187941.5,Amobi Okugo
POR,Olum,Lawrence,M,142500,157500,Lawrence Olum
POR,Powell,Alvas,D,115000,123700,Alvas Powell
POR,Ridgewell,Liam,D,615000,615000,Liam Ridgewell
POR,Valentin,Zarek,D,110000,110000,Zarek Valentin
POR,Valeri,Diego,M,2227500,2607500,Diego Valeri
POR,Zemanski,Ben,M,105000,109000,Ben Zemanski
RSL,Acosta,Danilo,M,65625,65625,Danilo Acosta
RSL,Allen,Jordan,M,178000,178000,Jordan Allen
RSL,Barrett,Chad,F,99000,105000,Chad Barrett
RSL,Beckerman,Kyle,M,750000,825000,Kyle Beckerman
